Date,Country,Status,AQI Value
2022-07-21 00:00:00,Serbia,Moderate,60.0
2022-07-21 00:00:00,Singapore,Good,29.0
2022-07-21 00:00:00,Slovakia,Moderate,63.0
2022-07-21 00:00:00,Slovenia,Good,49.0
2022-07-21 00:00:00,South Africa,Moderate,83.0
2022-07-21 00:00:00,South Korea,Moderate,80.0
2022-07-21 00:00:00,Spain,Moderate,82.0
2022-07-21 00:00:00,Sri Lanka,Good,42.0
2022-07-21 00:00:00,Sudan,Unhealthy For Sensitive Groups,114.0
2022-07-21 00:00:00,Sweden,Good,38.0
2022-07-21 00:00:00,Switzerland,Good,31.0
2022-07-21 00:00:00,Taiwan,Moderate,59.0
2022-07-21 00:00:00,Tajikistan,Moderate,81.0
2022-07-21 00:00:00,Thailand,Moderate,95.0
2022-07-21 00:00:00,Togo,Unhealthy,152.0
2022-07-21 00:00:00,Trinidad And Tobago,Good,20.0
2022-07-21 00:00:00,Turkey,Moderate,86.0
2022-07-21 00:00:00,Turkmenistan,Moderate,85.0
2022-07-21 00:00:00,Uganda,Unhealthy,198.0
2022-07-21 00:00:00,Ukraine,Good,37.0
2022-07-21 00:00:00,United Arab Emirates,Moderate,92.0
2022-07-21 00:00:00,United Kingdom Of Great Britain And Northern Ireland,Moderate,55.0
2022-07-21 00:00:00,United States Of America,Unhealthy For Sensitive Groups,116.0
2022-07-21 00:00:00,Uzbekistan,Moderate,60.0
2022-07-21 00:00:00,Vatican,Moderate,70.0
2022-07-21 00:00:00,Venezuela,Good,3.0
2022-07-21 00:00:00,Vietnam,Good,43.0
2022-07-21 00:00:00,Zambia,Good,39.0
2022-07-21 00:00:00,Albania,Good,17.0
2022-07-21 00:00:00,Andorra,Moderate,51.0
2022-07-21 00:00:00,Angola,Unhealthy,152.0
2022-07-21 00:00:00,Argentina,Moderate,61.0
2022-07-21 00:00:00,Armenia,Moderate,78.0
2022-07-21 00:00:00,Australia,Moderate,54.0
2022-07-21 00:00:00,Austria,Good,48.0
2022-07-21 00:00:00,Azerbaijan,Good,18.0
2022-07-21 00:00:00,Bahrain,Unhealthy,161.0
2022-07-21 00:00:00,Belarus,Good,12.0
2022-07-21 00:00:00,Belgium,Moderate,67.0
2022-07-21 00:00:00,Belize,Good,29.0
2022-07-21 00:00:00,Bermuda,Good,9.0
2022-07-21 00:00:00,Bolivia,Good,10.0
2022-07-21 00:00:00,Bosnia And Herzegovina,Moderate,65.0
2022-07-21 00:00:00,Brazil,Moderate,66.0
2022-07-21 00:00:00,Bulgaria,Good,29.0
2022-07-21 00:00:00,Burkina Faso,Unhealthy,154.0
2022-07-21 00:00:00,Canada,Moderate,64.0
2022-07-21 00:00:00,Cape Verde,Good,44.0
2022-07-21 00:00:00,Cayman Islands,Good,8.0
2022-07-21 00:00:00,Central African Republic,Unhealthy,161.0
2022-07-21 00:00:00,Chad,Unhealthy For Sensitive Groups,124.0
2022-07-21 00:00:00,Chile,Very Unhealthy,212.0
2022-07-21 00:00:00,China,Unhealthy,151.0
2022-07-21 00:00:00,Colombia,Moderate,60.0
2022-07-21 00:00:00,Costa Rica,Good,24.0
2022-07-21 00:00:00,Croatia,Good,34.0
2022-07-21 00:00:00,Cyprus,Moderate,53.0
2022-07-21 00:00:00,Czech Republic,Moderate,83.0
2022-07-21 00:00:00,Dominican Republic,Good,25.0
2022-07-21 00:00:00,Ecuador,Moderate,58.0
2022-07-21 00:00:00,Estonia,Good,16.0
2022-07-21 00:00:00,Ethiopia,Unhealthy,161.0
2022-07-21 00:00:00,France,Moderate,73.0
2022-07-21 00:00:00,Gabon,Unhealthy For Sensitive Groups,129.0
2022-07-21 00:00:00,Gambia,Good,5.0
2022-07-21 00:00:00,Germany,Moderate,79.0
2022-07-21 00:00:00,Ghana,Unhealthy For Sensitive Groups,113.0
2022-07-21 00:00:00,Greece,Good,32.0
2022-07-21 00:00:00,Guatemala,Moderate,53.0
2022-07-21 00:00:00,Honduras,Moderate,68.0
2022-07-21 00:00:00,Hong Kong,Good,32.0
2022-07-21 00:00:00,Hungary,Moderate,58.0
2022-07-21 00:00:00,Iceland,Good,9.0
2022-07-21 00:00:00,Iran,Very Unhealthy,246.0
2022-07-21 00:00:00,Iraq,Unhealthy,194.0
2022-07-21 00:00:00,Ireland,Good,15.0
2022-07-21 00:00:00,Israel,Unhealthy For Sensitive Groups,112.0
2022-07-21 00:00:00,Italy,Unhealthy For Sensitive Groups,119.0
2022-07-21 00:00:00,Ivory Coast,Good,30.0
2022-07-21 00:00:00,Japan,Moderate,89.0
2022-07-21 00:00:00,Jersey,Good,28.0
2022-07-21 00:00:00,Jordan,Good,28.0
2022-07-21 00:00:00,Kazakhstan,Moderate,60.0
2022-07-21 00:00:00,Kenya,Good,42.0
2022-07-21 00:00:00,Kosovo,Good,45.0
2022-07-21 00:00:00,Kuwait,Unhealthy,158.0
2022-07-21 00:00:00,Kyrgyzstan,Good,44.0
2022-07-21 00:00:00,Laos,Good,30.0
2022-07-21 00:00:00,Latvia,Good,24.0
2022-07-21 00:00:00,Liberia,Good,8.0
2022-07-21 00:00:00,Liechtenstein,Good,19.0
2022-07-21 00:00:00,Lithuania,Good,29.0
2022-07-21 00:00:00,Luxembourg,Good,46.0
2022-07-21 00:00:00,Macao,Good,38.0
2022-07-21 00:00:00,Macedonia,Good,49.0
2022-07-21 00:00:00,Madagascar,Good,36.0
2022-07-21 00:00:00,Malta,Moderate,59.0
2022-07-21 00:00:00,Mexico,Unhealthy For Sensitive Groups,109.0
2022-07-21 00:00:00,Moldova,Good,18.0
2022-07-21 00:00:00,Monaco,Good,44.0
2022-07-21 00:00:00,Mongolia,Good,40.0
2022-07-21 00:00:00,Montenegro,Good,44.0
2022-07-21 00:00:00,Myanmar,Good,36.0
2022-07-21 00:00:00,Nepal,Moderate,79.0
2022-07-21 00:00:00,Netherlands,Moderate,72.0
2022-07-21 00:00:00,New Caledonia,Good,12.0
2022-07-21 00:00:00,New Zealand,Good,30.0
2022-07-21 00:00:00,Norway,Moderate,67.0
2022-07-21 00:00:00,Palestinian Territory,Moderate,69.0
2022-07-21 00:00:00,Poland,Moderate,69.0
2022-07-21 00:00:00,Portugal,Good,22.0
2022-07-21 00:00:00,Puerto Rico,Good,6.0
2022-07-21 00:00:00,Reunion,Good,24.0
2022-07-21 00:00:00,Romania,Moderate,62.0
2022-07-21 00:00:00,Russia,Moderate,69.0
2022-07-21 00:00:00,Singapore,Good,21.0
2022-07-21 00:00:00,Slovakia,Moderate,62.0
2022-07-21 00:00:00,Slovenia,Good,50.0
2022-07-21 00:00:00,South Korea,Moderate,75.0
2022-07-21 00:00:00,Sri Lanka,Good,45.0
2022-07-21 00:00:00,Sweden,Good,41.0
2022-07-21 00:00:00,Switzerland,Good,32.0
2022-07-21 00:00:00,Taiwan,Moderate,63.0
2022-07-21 00:00:00,Tajikistan,Moderate,65.0
2022-07-21 00:00:00,Thailand,Moderate,81.0
2022-07-21 00:00:00,Togo,Unhealthy For Sensitive Groups,116.0
2022-07-21 00:00:00,Trinidad And Tobago,Good,18.0
2022-07-21 00:00:00,Turkey,Moderate,91.0
2022-07-21 00:00:00,Uganda,Unhealthy,189.0
2022-07-21 00:00:00,Ukraine,Good,26.0
2022-07-21 00:00:00,United Arab Emirates,Moderate,90.0
2022-07-21 00:00:00,United States Of America,Unhealthy For Sensitive Groups,107.0
2022-07-21 00:00:00,Uzbekistan,Moderate,58.0
2022-07-21 00:00:00,Venezuela,Good,2.0
2022-07-21 00:00:00,Vietnam,Good,41.0
2022-07-21 00:00:00,Zambia,Moderate,54.0
2022-07-22 00:00:00,Albania,Good,15.0
2022-07-22 00:00:00,Algeria,Moderate,65.0
2022-07-22 00:00:00,Andorra,Moderate,52.0
2022-07-22 00:00:00,Angola,Unhealthy For Sensitive Groups,110.0
2022-07-22 00:00:00,Argentina,Moderate,53.0
2022-07-22 00:00:00,Armenia,Moderate,54.0
2022-07-22 00:00:00,Australia,Moderate,66.0
2022-07-22 00:00:00,Austria,Good,45.0
2022-07-22 00:00:00,Azerbaijan,Good,16.0
2022-07-22 00:00:00,Bahrain,Unhealthy,154.0
2022-07-22 00:00:00,Bangladesh,Unhealthy For Sensitive Groups,141.0
2022-07-22 00:00:00,Belarus,Good,35.0
2022-07-22 00:00:00,Belgium,Good,43.0
2022-07-22 00:00:00,Belize,Good,22.0
2022-07-22 00:00:00,Bermuda,Good,23.0
2022-07-22 00:00:00,Bolivia,Moderate,61.0
2022-07-22 00:00:00,Bosnia And Herzegovina,Moderate,66.0
2022-07-22 00:00:00,Brazil,Moderate,90.0
2022-07-22 00:00:00,Brunei,Good,17.0
2022-07-22 00:00:00,Bulgaria,Good,31.0
2022-07-22 00:00:00,Burkina Faso,Moderate,90.0
2022-07-22 00:00:00,Cambodia,Good,15.0
2022-07-22 00:00:00,Canada,Moderate,71.0
2022-07-22 00:00:00,Cape Verde,Moderate,55.0
2022-07-22 00:00:00,Cayman Islands,Good,4.0
2022-07-22 00:00:00,Central African Republic,Unhealthy For Sensitive Groups,115.0
2022-07-22 00:00:00,Chad,Moderate,63.0
2022-07-22 00:00:00,Chile,Unhealthy For Sensitive Groups,137.0
2022-07-22 00:00:00,China,Unhealthy,165.0
2022-07-22 00:00:00,Colombia,Moderate,66.0
2022-07-22 00:00:00,Costa Rica,Moderate,51.0
2022-07-22 00:00:00,Croatia,Moderate,58.0
2022-07-22 00:00:00,Cyprus,Good,50.0
2022-07-22 00:00:00,Czech Republic,Moderate,90.0
2022-07-22 00:00:00,Denmark,Good,24.0
2022-07-22 00:00:00,Dominican Republic,Good,11.0
2022-07-22 00:00:00,Ecuador,Good,48.0
2022-07-22 00:00:00,Egypt,Moderate,86.0
2022-07-22 00:00:00,El Salvador,Moderate,85.0
2022-07-22 00:00:00,Estonia,Good,22.0
2022-07-22 00:00:00,Ethiopia,Unhealthy For Sensitive Groups,118.0
2022-07-22 00:00:00,Finland,Good,40.0
2022-07-22 00:00:00,France,Moderate,66.0
2022-07-22 00:00:00,French Guiana,Good,15.0
2022-07-22 00:00:00,Gabon,Unhealthy For Sensitive Groups,102.0
2022-07-22 00:00:00,Gambia,Good,6.0
2022-07-22 00:00:00,Georgia,Good,38.0
2022-07-22 00:00:00,Germany,Moderate,58.0
2022-07-22 00:00:00,Ghana,Unhealthy For Sensitive Groups,106.0
2022-07-22 00:00:00,Gibraltar,Good,32.0
2022-07-22 00:00:00,Greece,Good,46.0
2022-07-22 00:00:00,Grenada,Good,24.0
2022-07-22 00:00:00,Guadeloupe,Good,32.0
2022-07-22 00:00:00,Guam,Good,2.0
2022-07-22 00:00:00,Guatemala,Good,46.0
2022-07-22 00:00:00,Honduras,Good,14.0
2022-07-22 00:00:00,Hong Kong,Good,25.0
2022-07-22 00:00:00,Hungary,Moderate,62.0
2022-07-22 00:00:00,Iceland,Good,15.0
2022-07-22 00:00:00,India,Very Unhealthy,226.0
2022-07-22 00:00:00,Indonesia,Moderate,93.0
2022-07-22 00:00:00,Iran,Unhealthy,166.0
2022-07-22 00:00:00,Iraq,Unhealthy,177.0
2022-07-22 00:00:00,Ireland,Good,22.0
2022-07-22 00:00:00,Israel,Moderate,86.0
2022-07-22 00:00:00,Italy,Unhealthy For Sensitive Groups,102.0
2022-07-22 00:00:00,Ivory Coast,Good,38.0
2022-07-22 00:00:00,Japan,Moderate,68.0
2022-07-22 00:00:00,Jersey,Good,29.0
2022-07-22 00:00:00,Jordan,Good,20.0
2022-07-22 00:00:00,Kazakhstan,Moderate,71.0
2022-07-22 00:00:00,Kenya,Moderate,54.0
2022-07-22 00:00:00,Kosovo,Moderate,53.0
2022-07-22 00:00:00,Kuwait,Unhealthy,160.0
2022-07-22 00:00:00,Kyrgyzstan,Good,45.0
2022-07-22 00:00:00,Laos,Moderate,65.0
2022-07-22 00:00:00,Latvia,Good,38.0
2022-07-22 00:00:00,Lebanon,Moderate,76.0
2022-07-22 00:00:00,Liberia,Moderate,58.0
2022-07-22 00:00:00,Liechtenstein,Good,20.0
2022-07-22 00:00:00,Lithuania,Good,27.0
2022-07-22 00:00:00,Luxembourg,Moderate,55.0
2022-07-22 00:00:00,Macao,Good,26.0
2022-07-22 00:00:00,Macedonia,Moderate,60.0
2022-07-22 00:00:00,Madagascar,Good,38.0
2022-07-22 00:00:00,Malaysia,Moderate,71.0
2022-07-22 00:00:00,Malta,Good,49.0
2022-07-22 00:00:00,Martinique,Moderate,57.0
2022-07-22 00:00:00,Mexico,Unhealthy For Sensitive Groups,108.0
2022-07-22 00:00:00,Moldova,Good,8.0
2022-07-22 00:00:00,Monaco,Good,43.0
2022-07-22 00:00:00,Mongolia,Good,50.0
2022-07-22 00:00:00,Montenegro,Good,40.0
2022-07-22 00:00:00,Myanmar,Good,19.0
2022-07-22 00:00:00,Nepal,Moderate,58.0
2022-07-22 00:00:00,Netherlands,Good,33.0
2022-07-22 00:00:00,New Caledonia,Good,14.0
