AQI Value (Normalized),Date,Month,Year,AQI Category
0.0977130977130977,2022-07-21,7.0,2022.0,Very Low
0.1288981288981289,2022-07-21,7.0,2022.0,Very Low
0.0644490644490644,2022-07-21,7.0,2022.0,Very Low
0.0218295218295218,2022-07-21,7.0,2022.0,Very Low
0.0498960498960499,2022-07-21,7.0,2022.0,Very Low
0.1288981288981289,2022-07-21,7.0,2022.0,Very Low
0.1683991683991684,2022-07-21,7.0,2022.0,Very Low
0.0353430353430353,2022-07-21,7.0,2022.0,Very Low
0.0893970893970894,2022-07-21,7.0,2022.0,Very Low
0.0259875259875259,2022-07-21,7.0,2022.0,Very Low
0.0239085239085239,2022-07-21,7.0,2022.0,Very Low
0.1029106029106029,2022-07-21,7.0,2022.0,Very Low
0.1663201663201663,2022-07-21,7.0,2022.0,Very Low
0.0332640332640332,2022-07-21,7.0,2022.0,Very Low
0.0862785862785862,2022-07-21,7.0,2022.0,Very Low
0.0239085239085239,2022-07-21,7.0,2022.0,Very Low
0.0166320166320166,2022-07-21,7.0,2022.0,Very Low
0.1257796257796258,2022-07-21,7.0,2022.0,Very Low
0.1257796257796258,2022-07-21,7.0,2022.0,Very Low
0.0322245322245322,2022-07-21,7.0,2022.0,Very Low
0.0966735966735966,2022-07-21,7.0,2022.0,Very Low
0.0062370062370062,2022-07-21,7.0,2022.0,Very Low
0.0187110187110187,2022-07-21,7.0,2022.0,Very Low
0.0322245322245322,2022-07-21,7.0,2022.0,Very Low
0.1538461538461538,2022-07-21,7.0,2022.0,Very Low
0.0779625779625779,2022-07-21,7.0,2022.0,Very Low
0.0426195426195426,2022-07-21,7.0,2022.0,Very Low
0.183991683991684,2022-07-21,7.0,2022.0,Very Low
0.0686070686070686,2022-07-21,7.0,2022.0,Very Low
0.0925155925155925,2022-07-21,7.0,2022.0,Very Low
0.0457380457380457,2022-07-21,7.0,2022.0,Very Low
0.1465696465696465,2022-07-21,7.0,2022.0,Very Low
0.0384615384615384,2022-07-21,7.0,2022.0,Very Low
0.054054054054054,2022-07-21,7.0,2022.0,Very Low
0.0727650727650727,2022-07-21,7.0,2022.0,Very Low
0.028066528066528,2022-07-21,7.0,2022.0,Very Low
0.0623700623700623,2022-07-21,7.0,2022.0,Very Low
0.0103950103950103,2022-07-21,7.0,2022.0,Very Low
0.0426195426195426,2022-07-21,7.0,2022.0,Very Low
0.1382536382536382,2022-07-21,7.0,2022.0,Very Low
0.0374220374220374,2022-07-21,7.0,2022.0,Very Low
0.0457380457380457,2022-07-21,7.0,2022.0,Very Low
0.0769230769230769,2022-07-21,7.0,2022.0,Very Low
0.053014553014553,2022-07-21,7.0,2022.0,Very Low
0.0654885654885654,2022-07-21,7.0,2022.0,Very Low
0.0239085239085239,2022-07-21,7.0,2022.0,Very Low
0.0758835758835758,2022-07-21,7.0,2022.0,Very Low
0.0218295218295218,2022-07-21,7.0,2022.0,Very Low
0.027027027027027,2022-07-21,7.0,2022.0,Very Low
0.0509355509355509,2022-07-21,7.0,2022.0,Very Low
0.1517671517671517,2022-07-21,7.0,2022.0,Very Low
0.0103950103950103,2022-07-21,7.0,2022.0,Very Low
0.0686070686070686,2022-07-21,7.0,2022.0,Very Low
0.0176715176715176,2022-07-21,7.0,2022.0,Very Low
0.0696465696465696,2022-07-21,7.0,2022.0,Very Low
0.0311850311850311,2022-07-21,7.0,2022.0,Very Low
0.0686070686070686,2022-07-21,7.0,2022.0,Very Low
0.0488565488565488,2022-07-21,7.0,2022.0,Very Low
0.1101871101871102,2022-07-21,7.0,2022.0,Very Low
0.079002079002079,2022-07-21,7.0,2022.0,Very Low
0.0259875259875259,2022-07-21,7.0,2022.0,Very Low
0.0166320166320166,2022-07-21,7.0,2022.0,Very Low
0.0218295218295218,2022-07-21,7.0,2022.0,Very Low
0.0509355509355509,2022-07-21,7.0,2022.0,Very Low
0.0519750519750519,2022-07-21,7.0,2022.0,Very Low
0.0228690228690228,2022-07-21,7.0,2022.0,Very Low
0.001039501039501,2022-07-21,7.0,2022.0,Very Low
0.0592515592515592,2022-07-21,7.0,2022.0,Very Low
0.1735966735966736,2022-07-21,7.0,2022.0,Very Low
0.1237006237006237,2022-07-21,7.0,2022.0,Very Low
0.0478170478170478,2022-07-21,7.0,2022.0,Very Low
0.027027027027027,2022-07-21,7.0,2022.0,Very Low
0.0945945945945946,2022-07-21,7.0,2022.0,Very Low
0.0571725571725571,2022-07-21,7.0,2022.0,Very Low
0.0571725571725571,2022-07-21,7.0,2022.0,Very Low
0.0519750519750519,2022-07-21,7.0,2022.0,Very Low
0.0467775467775467,2022-07-21,7.0,2022.0,Very Low
0.0467775467775467,2022-07-21,7.0,2022.0,Very Low
0.1538461538461538,2022-07-21,7.0,2022.0,Very Low
0.0166320166320166,2022-07-21,7.0,2022.0,Very Low
0.0582120582120582,2022-07-21,7.0,2022.0,Very Low
0.028066528066528,2022-07-21,7.0,2022.0,Very Low
0.0509355509355509,2022-07-21,7.0,2022.0,Very Low
0.0259875259875259,2022-07-21,7.0,2022.0,Very Low
0.0758835758835758,2022-07-21,7.0,2022.0,Very Low
0.0488565488565488,2022-07-21,7.0,2022.0,Very Low
0.0665280665280665,2022-07-21,7.0,2022.0,Very Low
0.0415800415800415,2022-07-21,7.0,2022.0,Very Low
0.0602910602910602,2022-07-21,7.0,2022.0,Very Low
0.0446985446985447,2022-07-21,7.0,2022.0,Very Low
0.0738045738045738,2022-07-21,7.0,2022.0,Very Low
0.0228690228690228,2022-07-21,7.0,2022.0,Very Low
0.0249480249480249,2022-07-21,7.0,2022.0,Very Low
0.1455301455301455,2022-07-21,7.0,2022.0,Very Low
0.0561330561330561,2022-07-21,7.0,2022.0,Very Low
0.0717255717255717,2022-07-21,7.0,2022.0,Very Low
0.0426195426195426,2022-07-21,7.0,2022.0,Very Low
0.0436590436590436,2022-07-21,7.0,2022.0,Very Low
0.0779625779625779,2022-07-21,7.0,2022.0,Very Low
0.0592515592515592,2022-07-21,7.0,2022.0,Very Low
0.0665280665280665,2022-07-21,7.0,2022.0,Very Low
0.0135135135135135,2022-07-21,7.0,2022.0,Very Low
0.0301455301455301,2022-07-21,7.0,2022.0,Very Low
0.0509355509355509,2022-07-21,7.0,2022.0,Very Low
0.0862785862785862,2022-07-21,7.0,2022.0,Very Low
0.0291060291060291,2022-07-21,7.0,2022.0,Very Low
0.0602910602910602,2022-07-21,7.0,2022.0,Very Low
0.1663201663201663,2022-07-21,7.0,2022.0,Very Low
0.0332640332640332,2022-07-21,7.0,2022.0,Very Low
0.0166320166320166,2022-07-21,7.0,2022.0,Very Low
0.3108108108108108,2022-07-21,7.0,2022.0,Low
0.0187110187110187,2022-07-21,7.0,2022.0,Very Low
0.0374220374220374,2022-07-21,7.0,2022.0,Very Low
0.0519750519750519,2022-07-21,7.0,2022.0,Very Low
0.1091476091476091,2022-07-21,7.0,2022.0,Very Low
0.0623700623700623,2022-07-21,7.0,2022.0,Very Low
0.0135135135135135,2022-07-21,7.0,2022.0,Very Low
0.0395010395010395,2022-07-21,7.0,2022.0,Very Low
0.053014553014553,2022-07-21,7.0,2022.0,Very Low
0.1819126819126819,2022-07-21,7.0,2022.0,Very Low
0.0758835758835758,2022-07-21,7.0,2022.0,Very Low
0.1153846153846153,2022-07-21,7.0,2022.0,Very Low
0.0831600831600831,2022-07-21,7.0,2022.0,Very Low
0.0852390852390852,2022-07-21,7.0,2022.0,Very Low
0.0332640332640332,2022-07-21,7.0,2022.0,Very Low
0.0135135135135135,2022-07-21,7.0,2022.0,Very Low
0.0166320166320166,2022-07-21,7.0,2022.0,Very Low
0.0582120582120582,2022-07-21,7.0,2022.0,Very Low
0.0228690228690228,2022-07-21,7.0,2022.0,Very Low
0.0457380457380457,2022-07-21,7.0,2022.0,Very Low
0.0488565488565488,2022-07-21,7.0,2022.0,Very Low
0.0093555093555093,2022-07-21,7.0,2022.0,Very Low
0.0311850311850311,2022-07-21,7.0,2022.0,Very Low
0.054054054054054,2022-07-21,7.0,2022.0,Very Low
0.0862785862785862,2022-07-21,7.0,2022.0,Very Low
0.0207900207900207,2022-07-21,7.0,2022.0,Very Low
0.0852390852390852,2022-07-21,7.0,2022.0,Very Low
0.1268191268191268,2022-07-21,7.0,2022.0,Very Low
0.1912681912681912,2022-07-21,7.0,2022.0,Very Low
0.0550935550935551,2022-07-21,7.0,2022.0,Very Low
0.0353430353430353,2022-07-21,7.0,2022.0,Very Low
0.0311850311850311,2022-07-21,7.0,2022.0,Very Low
0.0426195426195426,2022-07-21,7.0,2022.0,Very Low
0.0883575883575883,2022-07-21,7.0,2022.0,Very Low
0.027027027027027,2022-07-21,7.0,2022.0,Very Low
0.0571725571725571,2022-07-21,7.0,2022.0,Very Low
0.0509355509355509,2022-07-21,7.0,2022.0,Very Low
0.1382536382536382,2022-07-21,7.0,2022.0,Very Low
0.053014553014553,2022-07-21,7.0,2022.0,Very Low
0.1195426195426195,2022-07-21,7.0,2022.0,Very Low
0.0893970893970894,2022-07-21,7.0,2022.0,Very Low
0.0363825363825363,2022-07-21,7.0,2022.0,Very Low
0.0363825363825363,2022-07-21,7.0,2022.0,Very Low
0.0249480249480249,2022-07-21,7.0,2022.0,Very Low
0.1268191268191268,2022-07-21,7.0,2022.0,Very Low
0.0457380457380457,2022-07-21,7.0,2022.0,Very Low
0.0561330561330561,2022-07-21,7.0,2022.0,Very Low
0.1185031185031185,2022-07-21,7.0,2022.0,Very Low
0.0904365904365904,2022-07-21,7.0,2022.0,Very Low
