AQI Value,Outlier,Status
10.0,False,Good
53.0,False,Moderate
56.0,False,Moderate
23.0,False,Good
182.0,True,Unhealthy
16.0,False,Good
22.0,False,Good
15.0,False,Good
65.0,False,Moderate
164.0,False,Unhealthy
10.0,False,Good
15.0,False,Good
79.0,False,Moderate
27.0,False,Good
39.0,False,Good
100.0,False,Moderate
142.0,False,Unhealthy For Sensitive Groups
42.0,False,Good
114.0,False,Unhealthy For Sensitive Groups
25.0,False,Good
14.0,False,Good
45.0,False,Good
29.0,False,Good
75.0,False,Moderate
62.0,False,Moderate
156.0,False,Unhealthy
81.0,False,Moderate
132.0,False,Unhealthy For Sensitive Groups
137.0,False,Unhealthy For Sensitive Groups
83.0,False,Moderate
62.0,False,Moderate
12.0,False,Good
105.0,False,Unhealthy For Sensitive Groups
69.0,False,Moderate
59.0,False,Moderate
42.0,False,Good
44.0,False,Good
69.0,False,Moderate
29.0,False,Good
13.0,False,Good
32.0,False,Good
40.0,False,Good
10.0,False,Good
55.0,False,Moderate
120.0,False,Unhealthy For Sensitive Groups
4.0,False,Good
47.0,False,Good
83.0,False,Moderate
160.0,False,Unhealthy
86.0,False,Moderate
67.0,False,Moderate
53.0,False,Moderate
69.0,False,Moderate
23.0,False,Good
24.0,False,Good
111.0,False,Unhealthy For Sensitive Groups
25.0,False,Good
103.0,False,Unhealthy For Sensitive Groups
99.0,False,Moderate
62.0,False,Moderate
76.0,False,Moderate
2.0,False,Good
31.0,False,Good
58.0,False,Moderate
91.0,False,Moderate
183.0,True,Unhealthy
3.0,False,Good
58.0,False,Moderate
52.0,False,Moderate
49.0,False,Good
72.0,False,Moderate
77.0,False,Moderate
22.0,False,Good
64.0,False,Moderate
9.0,False,Good
17.0,False,Good
28.0,False,Good
89.0,False,Moderate
12.0,False,Good
56.0,False,Moderate
134.0,False,Unhealthy For Sensitive Groups
59.0,False,Moderate
63.0,False,Moderate
21.0,False,Good
167.0,True,Unhealthy
13.0,False,Good
57.0,False,Moderate
91.0,False,Moderate
20.0,False,Good
83.0,False,Moderate
85.0,False,Moderate
48.0,False,Good
54.0,False,Moderate
22.0,False,Good
61.0,False,Moderate
48.0,False,Good
166.0,True,Unhealthy
167.0,True,Unhealthy
27.0,False,Good
123.0,False,Unhealthy For Sensitive Groups
11.0,False,Good
76.0,False,Moderate
69.0,False,Moderate
81.0,False,Moderate
23.0,False,Good
104.0,False,Unhealthy For Sensitive Groups
30.0,False,Good
33.0,False,Good
23.0,False,Good
83.0,False,Moderate
61.0,False,Moderate
70.0,False,Moderate
81.0,False,Moderate
22.0,False,Good
12.0,False,Good
83.0,False,Moderate
46.0,False,Good
11.0,False,Good
31.0,False,Good
105.0,False,Unhealthy For Sensitive Groups
104.0,False,Unhealthy For Sensitive Groups
59.0,False,Moderate
58.0,False,Moderate
84.0,False,Moderate
26.0,False,Good
107.0,False,Unhealthy For Sensitive Groups
154.0,False,Unhealthy
183.0,True,Unhealthy
21.0,False,Good
79.0,False,Moderate
13.0,False,Good
